0,23;0,38;0,0;0,53;0,4
0,23;0,38;0,0;0,52;0,4
0,23;0,38;0,0;0,52;0,4
0,23;0,37;0,0;0,53;0,4
0,22;0,37;0,0;0,52;0,4
0,23;0,37;0,0;0,52;0,4
0,24;0,36;0,0;0,52;0,4
0,24;0,36;0,0;0,51;0,4
0,24;0,36;0,0;0,51;0,4
0,23;0,36;0,0;0,51;0,4
0,23;0,36;0,0;0,51;0,4
0,22;0,35;0,0;0,51;0,4
0,23;0,34;0,0;0,50;0,4
0,23;0,34;0,0;0,50;0,4
0,23;0,33;0,0;0,51;0,4
0,23;0,33;0,0;0,51;0,4
0,21;0,32;0,0;0,51;0,4
0,20;1,33;0,34;0,52;0,4
0,22;11,35;8,40;6,52;0,6
0,38;13,56;13,62;13,63;0,12
0,77;14,70;16,68;18,63;0,35
0,94;15,75;19,75;23,65;0,48
0,99;15,96;20,78;25,70;0,63
0,88;15,94;23,72;31,67;0,55
0,58;15,86;28,70;41,67;0,25
0,53;5,84;23,72;41,70;0,20
0,62;2,73;20,67;38,66;0,35
0,67;1,72;19,75;36,76;0,45
0,58;1,62;17,71;33,70;0,24
0,49;4,59;18,64;33,62;0,17
0,49;9,79;20,75;31,76;0,13
0,66;10,89;18,82;26,84;0,20
0,88;10,73;17,77;24,77;0,46
0,86;11,77;16,71;22,55;0,53
0,82;11,94;16,73;21,67;0,35
0,62;11,84;16,73;22,70;0,15
0,55;7,85;21,70;35,68;0,13
0,51;2,80;20,64;39,60;0,19
0,60;1,71;21,69;42,68;0,19
0,60;1,70;23,67;45,66;0,38
0,57;0,57;24,67;47,65;0,27
0,49;3,47;26,62;49,59;0,21
0,43;11,38;30,60;49,57;0,18
0,57;12,48;25,59;38,56;0,21
0,84;13,70;22,63;32,52;0,53
0,90;13,73;20,73;26,52;0,59
0,95;14,93;17,73;21,58;0,44
0,72;14,90;16,68;19,54;0,19
0,46;11,80;18,62;23,55;0,10
0,51;3,79;16,63;28,55;0,9
0,57;2,70;17,69;31,68;0,16
